a_id,a_name,a_country,a_street,a_city,a_prov,a_pcode,a_tel,a_web
10641,Kutaisi U.,Georgia,"13, Tsereteli Street",Kutaisi,Imereti,4601,+995(331) 45297,http://www.unik.edu.ge/
10642,Kutawato Darrusalam College,Philippines,"Purok Zailon, NB BaguaCampo Muslim",Cotabato City,Cotabato,9600,+63(64) 421-5914,
10643,Kutawato Institute Technology Foundation,Philippines,"Poblacion 8, Kakar Extension",Cotabato City,Cotabato,9600,+63(64) 390-2318,
10644,Kutztown U. Pennsylvania,United States of America ,P.O. Box 730,Kutztown, Pennsylvania,19530,+1(610) 683-4000,http://www.kutztown.edu
10646,Kuvempu U.,India,Jnana SahyadriShimoga Dist.,Shankaraghatta,Karnataka,577451,+91(8282) 256-301 +91(8282) 256-302,http://www.kuvempu.ac.in
10647,Kuwait Maastricht Business School,Kuwait,"Block 3, Kazima StreetNext to Kuwait Teachers Society",Dasma,,,+965 2251-7091,http://www.kmbs.edu.kw/
10648,Kuyper College,United States of America ,"3333 East Beltline Avenue, NE",Grand Rapids, Michigan,49525,+1(616) 222-3000,http://www.kuyper.edu/
10649,Kuzbass State Pedagogical Academy,Russian Federation,ul. Pionerskij 13,Novokuzneck,Kemerovskaja oblast',654027,+7(3843) 74-18-60,http://www.kuzspa.ru
10650,Kuzbass State Technical U.,Russian Federation,ul. Vesennjaja 28,Kemerovo,,650026,+7(3842) 583-073,http://www.kuzstu.ac.ru
10651,Kuzbass Institute Economics Law,Russian Federation,"ul. 40 let Oktjabrja, 2",Kemerovo,,650001,+7(3842) 31-08-79,http://www.kiel.ru/
10652,Kwame Nkrumah U. Science Technology Kumasi,Ghana,Private Mail BagUniversity Post Office,Kumasi,,,+233(32) 206-0334,http://www.knust.edu.gh
10653,Catholic Kwandong U.,Korea (Republic of),"24, Beomil-ro579 beon-gil",Gangneung-si,Gangwon-do,210-701,+82(33) 649-7114  +82(33) 649-7085,http://www.cku.ac.kr/
10654,Kwanje U.,Korea (Democratic People's Republic of),Pyonghawa-Dong,Sinuiju City,Pyongan Province,,,
10655,Kwangju Women's U.,Korea (Republic of),165 Sanjeong-dongKwangsan-gu,Gwangju-si,Gyeonggi-do,506-713,+82(62) 956-2500,http://www.kwu.ac.kr
10656,U. Mining Metallurgical Engineering,Korea (Democratic People's Republic of),Pohang District,Chongjin City,North Hamgyong Province,,,
10657,Kwangshin U.,Korea (Republic of),San-70 Bonchon-dongBuk-gu,Gwangju-si,Gyeonggi-do,500-710,+82(62) 605-1004,http://www.kwangshin.ac.kr
10658,Kwangwoon U.,Korea (Republic of),20 Gwangun-roNowon-gu,Seoul,,139-701,+82(2) 940-5114  +82(2) 940-5015  +82(2) 940-5014,http://www.kw.ac.kr
10659,Kwansei Gakuin U.,Japan,1-155 Uegahara-1bancho,Nishinomiya-shi,Hyogo,662-8501,+81(798) 54-6017,http://www.kwansei.ac.jp
10660,Kwanso U.,Korea (Democratic People's Republic of),,,North Pyongan Province,,,
10661,Kwantlen Polytechnic U.,Canada ,12666 - 72nd Avenue,Surrey, British Columbia ,V3W 2M8,+1(604) 599-2100,http://www.kpu.ca/
10662,Kwara State Polytechnic,Nigeria,PMB 1375,Ilorin,Kwara State,,+234(31) 221-441,http://www.kwarapolytechnic.com/
10663,Kwara State U.,Nigeria,PMB 1530,Ilorin,Kwara State,,+234(803) 191-5699  +234(703) 234-0536  +234(807) 983-0799,http://www.kwasu.edu.ng
10664,Kwararafa U. Wukari,Nigeria,Wukari-Takum Rd,Wukari,Taraba State,,,http://kwararafauniversity.edu.ng
10665,Kwassui Women's College,Japan,1-50 Higashiyamate-machi,Nagasaki-shi,Nagasaki,850-8515,+81(95) 822-4107,http://www.kwassui.ac.jp
10668,Kyambogo U.,Uganda,PO Box 1,Kyambogo,Kampala,,+256(414) 286-237,http://www.kyu.ac.ug/
10670,Kye Ung San U.,Korea (Democratic People's Republic of),,Sariwon City,North Hwanghae Province,,,
10672,Kyiv Engineering Technical Institute,Ukraine,ul. Druzhkivska 8Room 414,Kyiv,Kyiv Region,03133,+380(44) 443-07-19,http://www.nau.edu.ua
10679,Kyiv Medical College #4,Ukraine,ul. Bratyslavska 5,Kyiv,Kyiv Region,02166,+380(44) 518-76-68,
10680,Kyiv National U. Construction Architecture,Ukraine,prosp. Povitroflotski 31,Kyiv,Kyiv Region,03680,+380(44) 249-49-05,http://www.knuba.edu.ua
10681,Kyiv National U. Culture Arts,Ukraine,ul. Shchorsa 36,Kyiv,Kyiv Region,01133,+380(44) 269-93-37,http://www.knukim-edu.kiev.ua
10683,Kyiv National U. Internal Affairs,Ukraine,1 Solomyanska square,Kyiv,Kyiv Region,03035,+380(44) 246-94-91,http://www.naiau.kiev.ua
10684,Kyiv National U. atre Film Television named after I.K. Karpenko Kary,Ukraine,Yaroslavov Val 40,Kyiv,Kyiv Region,01034,+380(44) 212-10-32,http://www.knutkt.com.ua/
10685,Kymenlaakso U. Applied Sciences,Finland,PO Box 9,Kotka,,48401,,http://www.kyamk.fi
10686,Maebashi Kyoai Gakuen College,Japan,1154-4 Koyaharamachi,Maebashi-shi,Gunma,379-2192,+81(27) 266-7575,http://www.kyoai.ac.jp
10687,Kyoei U.,Japan,4158 Uchimaki,Kasukabe-shi,Saitama,344-0051,+81(48) 755-2932,http://www.kyoei.ac.jp
10688,Kyonggi U.,Korea (Republic of),"San 94-6 Iui-dong, Yeongtong-gu",Suwon-si,Gyeonggi-do,443-760,+82(31) 249-8773,http://www.kyonggi.ac.kr
10690,Kyongsong U.,Korea (Democratic People's Republic of),Pohang District,Chongjin City,North Hamgyong Province,,,
10691,Kyorin U.,Japan,6-20-2 Shinkawa,Mitaka-shi,Tokyo,181-8611,+81(422) 47-5511,http://www.kyorin-u.ac.jp/
10692,Kyoritsu Women's U.,Japan,"2-2-1, Hitotsubashi",Chiyoda-ku,Tokyo,101-8437,+81(3) 3237-2789,http://www.kyoritsu-wu.ac.jp
10693,Kyoto Bunkyo U.,Japan,80 SenzokuMakishima-cho,Uji-shi,Kyoto,611-0041,+81(774) 23-3121,http://www.kbu.ac.jp
10694,Kyoto U.,Japan,Yoshida-HonmachiSakyo-ku,Kyoto-shi,Kyoto,606-8501,+81(75) 753-7531,http://www.kyoto-u.ac.jp/en
10695,Kyoto Prefectural U.,Japan,1-5 Hangi-choShimogamoSakyo-ku,Kyoto-shi,Kyoto,606-8522,+81(75) 703-5101  +81(75) 703-5144,http://www.kpu.ac.jp
10696,Kyoto Prefectural U. Medicine,Japan,465 Kajii-choKawaramachi-dori Hirokoji-agaruKamigyo-ku,Kyoto-shi,Kyoto,602-0841,+81(75) 251-5111,http://www.kpu-m.ac.jp
10697,Kyoto U. Foreign Studies,Japan,"6 Kasame-cho, Saiin Ukyo-ku",Kyoto-shi,Kyoto,615-8558,+81(75) 322-6043,http://www.kufs.ac.jp
10698,Kyoto Gakuen U.,Japan,1-1 Nanjyo-OtaniSogabe,Kameoka-shi,Kyoto,621-8555,+81(771) 22-2001,http://www.kyotogakuen.ac.jp
10699,Kyoto College Graduate Studies Informatics,Japan,7 Monzen-cho Tanaka,Sakyo-ku,Kyoto,606-8225,+81(75) 681-6332,http://www.kcg.edu/
10700,Kyoto Women's U.,Japan,"35 Kitahiyoshi-choImakumano, Higashiyama-ku",Kyoto-shi,Kyoto,605-8501,+81(75) 531-7054  +81(75) 531-7078,http://www.kyoto-wu.ac.jp
10701,Kyoto Institute Technology,Japan,"Matsugasaki, Sakyo-ku",Kyoto-shi,Kyoto,606-8585,+81(75) 724-7128,http://www.kit.ac.jp
10702,Kyoto Koka Women's U.,Japan,38 Kadono-choNishikyogokuUkyo-ku,Kyoto-shi,Kyoto,615-0882,+81(75) 325-5304,http://www.koka.ac.jp
10703,Kyoto U. Education,Japan,1 Fukakusa-Fujinomori-choFushimi-ku,Kyoto-shi,Kyoto,612-8522,+81(75) 644-8100,http://www.kyokyo-u.ac.jp
10704,Kyoto Notre Dame U.,Japan,1 Minami-Nonogami-choShimogamoSakyo-ku,Kyoto-shi,Kyoto,606-0847,+81(75) 706-3746,http://www.notredame.ac.jp/
10705,Kyoto Saga U. Arts,Japan,"1, Gotoh-choSaga",Ukyo-kyu,Kyoto,616-8362,+81(75) 864-7858  +81(75) 864-7859,http://www.kyoto-saga.ac.jp
10706,Kyoto Sangyo U.,Japan,"Motoyama, KamigamoKita-ku",Kyoto-shi,Kyoto,603-8555,+81(75) 705-1408,http://www.kyoto-su.ac.jp
10707,Kyoto Seika U.,Japan,137 Kino-choIwakura,Sakyo-ku,Kyoto,606-8588,+81(75) 702-5199,http://www.kyoto-seika.ac.jp/eng
10708,Kyoto City U. Arts,Japan,"13-6 Kutsukake-choOe, Nishikyo-ku",Kyoto-shi,Kyoto,610-1197,+81(75) 332-0701,http://www.kcua.ac.jp
10709,Kyoto Tachibana U.,Japan,34 Yamada-cho OyakeYamashina-ku,Kyoto-shi,Kyoto,607-8175,+81(75) 574-4121,http://www.tachibana-u.ac.jp
10710,Kyoto Pharmaceutical U.,Japan,Misasagi-Nakauchicho 5Yamashinaku,Kyoto-shi,Kyoto,607-8414,+81(75) 595-4600,http://www.kyoto-phu.ac.jp
10711,Kyoto U. Art Design,Japan,2-116 UryuyamaKita-shikarawaSakyo-ku,Kyoto-shi,Kyoto,606-8271,+81(75) 791-9122,http://www.kyoto-art.ac.jp
10712,Kyrgyz Economics U.,Kyrgyzstan,Ul. Togolok Moldo 58,Biskek,,720033,+996(312) 32-51-19  +996(312) 32-53-89,http://www.keu.edu.kg
10713,Kyrgyz State Academy Physical Education Sports,Kyrgyzstan,Ul. Ahunbaeva 97,Biskek,,720064,+996(312) 47-04-89,
10714,Kyrgyz State U. Construction Transport Architecture,Kyrgyzstan,ul. Maldybayeva 34,Biskek,,720020,+996(312) 54-35-61,http://www.ksucta.kg
10715,Academy Arts Kyrgyz Republic named after Academic T.Sadykov,Kyrgyzstan,Ul. Tsiolkovsky 98,Biskek,,720027,+996(312) 48-32-53,
10716,Academy Management under President Kyrgyz Republic,Kyrgyzstan,ul. Panfilov 237,Biskek,,720040,+996(312) 62-31-00  +996(312) 66-46-44,http://www.amp.kg/
10717,Kyrgyz Russian Slavic U. named after First President Russian Federation B.N. Yeltsin,Kyrgyzstan,ul. Kievskaja 44,Biskek,,720000,+996(312) 62-25-67,http://www.krsu.edu.kg
10718,Kyrgyz Uzbek U.,Kyrgyzstan,ul. Aitiev 27,Os,,723500,+996(3222) 5-70-55,
10719,Kyrgyzstan Turkey Manas U.,Kyrgyzstan,Tynchtyk Avenue 56,Biskek,,720044,+996(312) 54-19-42,http://manas.edu.kg/
10720,Kyung Hee U.,Korea (Republic of),1 Hoeki-dongDongdaemoon-gu,Seoul,,130-701,+82(2) 961-0031  +82(2) 961-0032,http://www.khu.ac.kr
10722,Kyungdong U.,Korea (Republic of),"San 91-1, Bongpo-riTosung-myeonKoseong-gun",Goseong-si,Gangwon-do,219-705,+82(33) 631-2000,http://www.kyungdong.ac.kr
10723,Kyungil U.,Korea (Republic of),"50, Gamasil-gilHayang-eup",Gyeongsan-si,Gyeongbuk-do,712-701,+82(53) 600-4000,http://www.kiu.ac.kr/
10724,Kyungnam U.,Korea (Republic of),7 Kyungnamdaehak-roMasanhappo-gu,Changwon-si,Gyeongsangnam-do,631-701,+82(55) 245-5000,http://www.kyungnam.ac.kr
10725,Kyungpook National U.,Korea (Republic of),1370 Sangyeok-dong Buk-gu,Daegu,,702-701,+82(53) 950-5114,http://www.knu.ac.kr/
10726,Kyungsung U.,Korea (Republic of),314-79 Daeyeon-dongNam-gu,Busan,,608-736,+82(51) 663-4119  +82(21) 532-7971,http://ks.ac.kr/
10728,Kyungwoon U.,Korea (Republic of),"730, Gangdong-roSandong-myeon",Gumi-si,Gyeongbuk-do,730-739,+82(54) 479-1114,http://www.kyungwoon.ac.kr
10729,Kyushu U.,Japan,6-10-1 Hakozaki,Higashi-ku,Fukuoka,812-8581,+81(92) 642-2111,http://www.kyushu-u.ac.jp
10730,Kyushu Nutrition Welfare U.,Japan,5-1-1 ShimoitozuKokurakita-ku,Kitakyushu-shi,Fukuoka,803-8511,+81(93) 561-2136  +81(93) 561-2060,http://www.knwu.ac.jp
10731,Kyushu U. Health Welfare,Japan,Yoshino-cho 1714-1,Nobeoka-shi,Miyazaki,882-8508,+81(982) 23-5555,http://www.phoenix.ac.jp
10732,Kyushu Institute Information Sciences,Japan,6-3-1 SaifuDazaifu,Dazaifu-shi,Fukuoka,818-0117,+81(92) 928-4000,http://www.kiis.ac.jp
10733,Kyushu Women's U.,Japan,1-1 JiyagaokaYahatanishi-ku,Kitakyushu-shi,Fukuoka,807-8586,+81(93) 693-3277,http://www.kwuc.ac.jp
10734,Kyushu U. Nursing Social Welfare,Japan,Tomio 888,Tamana-shi,Kumamoto,865-0062,+81(968) 75-1800  +81(968) 75-1850,http://www.kyushu-ns.ac.jp
10735,Kyushu Institute Technology,Japan,1-1 Sensui-choTobata-ku,Kitakyushu-shi,Fukuoka,804-8550,+81(94) 884-3051  +81(94) 884-3007,http://www.kyutech.ac.jp
10736,Kyushu International U.,Japan,1-6-1 HiranoYahatahigashi-ku,Kitakyushu-shi,Fukuoka,805-8512,+81(93) 671-8910,http://www.kiu.ac.jp
10737,Kyushu Kyoritsu U.,Japan,"1-8, JiyugaokaYahatanishi-ku",Kitakyushu-shi,Fukuoka,807-8585,+81(93) 693-3305,http://www.kyukyo-u.ac.jp
10738,Kyushu Lutheran College,Japan,3-12-16 Kurokami,Kumamoto-shi,Kumamoto,860-8520,+81(96) 343-1600,http://www.klc.ac.jp
10739,Kyushu Sangyo U.,Japan,2-3-1 Matsukadai,Higashi-ku,Fukuoka,813-8503,+81(92) 673-5050,http://www.ip.kyusan-u.ac.jp
10740,Kyushu Dental College,Japan,"2-6-1, ManazuruKokura-kita",Kitakyushu,Fukuoka,803-8580,+81(93) 582-1131,http://www.kyu-dent.ac.jp
10742,Korkyt Ata Kyzylorda State U.,Kazakhstan,ul. Ajteke-bi 29a,Kyzylorda,,120014,+7(7242) 26-17-16,http://www.korkyt.kz
10745,U. Copenhagen,Denmark,Postboks 2177Norregade 10,Kobenhavn K,,1017,+45 35-32-26-26,http://www.ku.dk
10746,U. Malta,Malta,,Msida,,MSD 2080,+356(21) 2340-2340,http://www.um.edu.mt
10747,L.D. Woosley Bethany Colleges,Philippines,1714 Dian StreetPalanan,City of Makati,"Fourth District, Metro Manila",1235,+63(2) 833-4576,
10748,L.F. Gonzales College Science Technology,Philippines,Maharlika Hi-Way 3102,San Leonardo,Nueva Ecija,3102,+63(44) 604-1314,
10749,La Carlota City College,Philippines,Gurrea Street,La Carlota City,Negros Occidental,6130,+63(34) 4602-245,http://lcccandayas.weebly.com
10750,LA College International,United States of America ,"3200 Wilshire Boulevard, Ste 400",Los Angeles, California,60010-1308,+1(213) 381-3333,
10751,La Concepcion College,Philippines,"Block 6, Lot 3&4 Phase-F, Barangay Narra, Francisco Homes I",San Jose del Monte City,Bulacan,3023,+63(44) 769-06-86,http://laconcepcioncollege.com
10752,La Consolacion College Bacolod,Philippines,Corner Galo-Gatuslao Streets,Bacolod City,Negros Occidental,6100,+63(34) 433-9664,http://www.lcc.edu.ph
10753,La Consolacion College Bais,Philippines,Aglipay Street,Bais City,Negros Oriental,6206,,http://www.lccb.edu.ph
10754,La Consolacion College Binan,Philippines,Sto. Tomas,Binan,Laguna,4024,+63(49) 512-7120,http://www.lccbn.edu.ph
10755,La Consolacion College Caloocan,Philippines,496 A. Mabini Street,Caloocan City,"Third District, Metro Manila",1400,+63(2) 287-9703,http://www.lccc.edu.ph
10756,La Consolacion College Daet,Philippines,Froilan Pimentel Avenue,Daet,Camarines Norte,4600,+63(54) 440-2002,
10757,La Consolacion College Deparo,Philippines,"Villa Maria Subdivision, Deparo Novaliches",Caloocan City,"Third District, Metro Manila",1420,+63(2) 935-81-82  +63(2) 930-8155,http://laco.50webs.com/home.html
10758,La Consolacion College Iriga City,Philippines,San Francisco,Iriga City,Camarines Sur,4431,+63(54) 299-2340,http://www.lcci.edu.ph/lcci/default.asp
10759,La Consolacion College La Carlota City,Philippines,La Paz Street,La Carlota City,Negros Occidental,6130,+63(34) 460-2567,
10760,La Consolacion College Liloan,Philippines,Poblacion,Liloan,Cebu,6002,+63 564-2866,
10761,La Consolacion College Manila,Philippines,8 Mendiola StreetSan Miguel,Manila,"First District, Metro Manila",1005,+63(2) 736-0235  +63(2) 313-0513,http://www.lccm.edu.ph
10762,La Consolacion College Pasig,Philippines,641 Mercedes AvenueSan Miguel,Pasig City,"Second District, Metro Manila",,+63(2) 641-8599,http://lccpasig.wordpress.com
10763,La Consolacion College Tanauan,Philippines,A. Mabini Ave,Tanuan,Batangas,4232,+63(43) 778-1020,
10764,La Consolacion U. Philippines,Philippines,,City of Malolos,Bulacan,3000,+63(44) 791-0184,http://www.lcup.edu.ph
10765,La Fortuna College,Philippines,"Daan Sarile, Maharlika Highway",Cabanatuan City,Nueva Ecija,3100,+63(44) 463-8465,http://lafo.lafortunacollege.net
10766,La Roche College,United States of America ,9000 Babcock Boulevard,Pittsburgh, Pennsylvania,15237-5898,+1(412) 367-9300,http://www.laroche.edu
10767,La Salle College Victorias,Philippines,"Paz AvenueCanetown Subdivision, Vicmico",Victorias City,Negros Occidental,6119,+63(34) 198-5132,
10768,La Salle College Antipolo,Philippines,Bo. San Luis,Antipolo City,Rizal,1870,+63(2) 644-0506,http://www.lsca.edu.ph
10769,La Salle U.,Philippines,Valconcha Street,Ozamis City,Misamis Occidental,,+63(88) 521-1010,http://www.lsu.edu.ph
10770,La Salle U.,United States of America ,1900 West  Olney Avenue,Philadelphia, Pennsylvania,19141-1199,+1(215) 951-1000,http://www.lasalle.edu
10771,La Sierra U.,United States of America ,4500 Riverwalk Pkwy,Riverside, California,92515,+1(951) 785-2020,http://www.lasierra.edu
10775,La Trobe U.,Australia,,Melbourne,Victoria,3086,+61(3) 9627-4805,http://www.latrobe.edu.au
10778,La Union College Nursing,Philippines,181 Purok 3 Biday,City of San Fernando,La Union,2500,+63(72) 888-5016,
10779,La Union College Science Technology,Philippines,Pezcadores Street,Bauang,La Union,2501,+63(72) 705-3922,
10780,Laak Institute Foundation,Philippines,Poblacion,Laak,Compostela Valley,8115,+63(84) 217-3766,
10782,Laboure College,United States of America ,303 Adams Street,Milton, Massachusetts,02186,+1(617) 934-2481,http://www.laboure.edu
10783,Lacson College,Philippines,1852-C Taft Avenue,Pasay City,"Fourth District, Metro Manila",1800,+63(2) 831-7423,
10784,Ladoke Akintola U. Technology,Nigeria,P.M.B. 4000,Ogbomoso,Oyo State,,+234(2) 810-0629,http://www.lautech.edu.ng
10785,Lady Lourdes Hospital Colleges Caybiga,Philippines,15 Gen. Luis StreetCaybiga,Caloocan City,"Third District, Metro Manila",1400,+63(2) 983-5581,
10786,Lady Penafrancia College,Philippines,Bagasbas Road,Daet,Camarines Norte,4600,+63(54) 721-5466,
10789,Lafayette College,United States of America ,730 High St,Easton, Pennsylvania,18042,+1(610) 330-5000,http://www.lafayette.edu
10791,Lagos State U.,Nigeria,PMB   01,Ojo,Lagos State,,+234(1) 854-7000,http://www.lasu.edu.ng/
10792,LaGrange College,United States of America ,601 Broad Street,LaGrange, Georgia,30240-2999,+1(706) 880-8005,http://www.lagrange.edu
10793,Laguna College,Philippines,Paseo de Escudero,San Pablo City,Laguna,4000,+63(49) 562-8077  +63(49) 562-8078,http://www.lagunacollege.edu.ph
10794,Laguna College Art Design,United States of America ,2222 Laguna Canyon Road,Laguna Beach, California,92651-1136,+1(949) 376-6000,http://www.lcad.edu
10795,Laguna College Business Arts,Philippines,Burgos Street,Calamba City,Laguna,4027,+63(49) 545-4769  +63(49) 545-4766,
10796,Laguna Northwestern College,Philippines,194 Mabini StreetSan Antonio,San Pedro,Laguna,4023,+63(49) 846-0738,http://www.lncs.net
10797,Laguna Santiago Educational Foundation,Philippines,F. Sario Street,Sta. Cruz,Laguna,4009,+63(49) 808-1431,
10798,Laguna Science Technology College,Philippines,12 Sto. Nino,San Pedro,Laguna,4023,+63(2) 868-1347,
10799,Laguna State Polytechnic U.,Philippines,L. De Leon Street,Siniloan,Laguna,4019,+63(49) 813-0452,http://www.lspu.edu.ph/
10800,Laguna U.,Philippines,Brgy. Bubukal,Sta. Cruz,Laguna,4009,+63(49) 808-4360,http://lu.edu.ph
10801,Lahti U. Applied Sciences,Finland,PO Box 214,Lahti,,15101,+358(44) 708-0983,http://www.lamk.fi
10802,Lahore College Women U.,Pakistan,Jail Road,Lahore,Punjab,54600,+92(42) 920-1950,http://www.lcwu.edu.pk
10803,Lahore School Economics,Pakistan,"Intersection Main Boulevard, Phase VI DHA and Burki Road, Burki",Lahore,Punjab,53200,+92(42) 6560936,http://www.lahoreschoolofeconomics.edu.pk/
10804,Lahore U. Management Sciences,Pakistan,"Opposite Sector U, DHA",Lahore,Punjab,54792,+92(42) 5722670-9,http://www.lums.edu.pk
10805,Lake Erie College,United States of America ,391 West Washington Street,Painesville, Ohio,44077-3389,+1(440) 352-3361,https://www.lec.edu/
10806,Lake Erie College Ostheopathic Medicine,United States of America ,1858 West Grandview Boulevard,Erie, Pennsylvania,16509-1025,+1(814) 866-6641,http://www.lecom.edu
10807,Lake Forest College,United States of America ,555 North Sheridan Road,Lake Forest, Illinois,60045-2399,+1(847) 234-3100,http://www.lakeforest.edu/
10808,Lake Forest Graduate School Management,United States of America ,1905 West Field Court,Lake Forest, Illinois,60045-2429,+1(847) 234-5005,http://www.lakeforestmba.edu
10809,Lake Lanao College,Philippines,Cabili Street,Marawi City,Lanao del Sur,9700,,
10810,Lake Superior State U.,United States of America ,650 West Easterday Avenue,Sault Ste Marie, Michigan,49783,+1(906) 632-6841,http://www.lssu.edu
10811,Lakehead U.,Canada ,955 Oliver Road,Thunder Bay, Ontario,P7B 5E1,+1(807) 343-8110,http://www.lakeheadu.ca
10812,Lakeland College,United States of America ,PO Box 359,Sheboygan, Wisconsin,53082-0359,+1(920) 565-2111,http://www.lakeland.edu
10814,Lakeland College,Canada ,5707 College Drive,Vermillion, Alberta,T9X 1K5,+1(780) 853-8400,http://www.lakelandcollege.ca
10815,Lakeview College Nursing,United States of America ,903 North Logan Ave,Danville, Illinois,61832,+1(217) 443-5238,http://www.lakeviewcol.edu
10816,Lakshmibai National Institute Physical Education,India,"Race Course Road,Shaktinagar",Gwalior,Madhya Pradesh,474002,+91(751) 400-0902,http://www.lnipe.gov.in
10817,Lal Bahadur Shastri Institute Management,India,"Plot No. 11/7, Sector 11(Near Metro Station)Dwarka",New Delhi,,110 075,+91(11) 2530-7700,http://www.lbsim.ac.in
10818,Lala Lajpat Rai U. Veterinary Animal Sciences,India,,Hisar,Haryana,121006,+91(166) 227-0164,http://llruvas.edu.in
10819,Lalit Narayan Mithila U.,India,Kameshwarnagar,Darbhanga,Bihar,846008,+91(6272) 222-428,http://www.lnmu.edu.in/
10820,Lamar U.,United States of America ,"P.O. Box 10009,4400 Mlk Blvd",Beaumont, Texas,77710,+1(409) 880-7011,http://www.lamar.edu
10823,Lanao Agricultural College,Philippines,Poblacion,Lumbatan,Lanao del Sur,9307,,
10824,Lanao College Criminology,Philippines,Buadiamaloy,Masiu,Lanao del Sur,,,
10825,Lanao Educational Institute,Philippines,Camp Jose Abad Santos,Malabang,Lanao del Sur,9300,,
10826,Lanao Islamic Paramedical College Foundation,Philippines,"Sohaya Bldg. 2, Pumping Street",Marawi City,Lanao del Sur,9700,+63(63) 352-0329,
10827,Lanao School Science Technology,Philippines,,Maranding,Lanao del Norte,9211,+63(63) 388-7199,
10829,Lancaster Bible College,United States of America ,901 Eden Road,Lancaster, Pennsylvania,17601-5036,+1(717) 569-7071,http://www.lbc.edu
10830,Pennsylvania College Health Sciences,United States of America ,410 N Lime St,Lancaster, Pennsylvania,17602,+1(800) 622-5443,http://www.pacollege.edu/
10831,Lancaster U.,United Kingdom,Bailrigg,Lancaster,,LA1 4YW,+44(1524) 652-01,http://www.lancs.ac.uk
10833,Agricultural U. Iceland,Iceland,Hvanneyri,Borgarnes,,311,+354 433-5000,http://www.lbhi.is/
10835,Lander U.,United States of America ,320 Stanley Avenue,Greenwood, South Carolina,29649-2099,+1(864) 388-8000,http://www.lander.edu
10836,Landmark U.,Nigeria,PMB 1004Ipetu road,Omu Aran,Kwara State,,+234(708) 711-6413  +234(703) 820-5649  +234(815) 131-9178,http://lmu.edu.ng
10837,Lane College,United States of America ,"545 Lane Avenue,",Jackson, Tennessee,38301,+1(901) 426-7500,http://www.lanecollege.edu
10838,Langfang Teachers College,China,100 West Aimin Street,Langfang,Hebei Province,065000,+86(316)  2188211,http://www.lfsfxy.org.cn
10839,Langston U.,United States of America ,PO Box 907,Langston, Oklahoma,73050-0907,+1(405) 466-2231,http://www.lunet.edu
10841,Lankaran State U.,Azerbaijan,ul. General H. Aslanov 50,Lankaran,,4200,+994(25) 255-0340,http://www.lsu.edu.az
10843,Lanyang Institute Technology,China - Taiwan,"No.79, Fushin Rd.Yilan County",Tou-Chen,I-Lan,261,+886(3) 977-1997,http://www.fit.edu.tw/
10844,Lanzhou City U.,China,"11, Jiefang RoadAnning District",Lanzhou,Gansu,730070,+86(931) 7601062,http://www.lzcu.edu.cn/
10845,Lanzhou Jiaotong U.,China,88 West Anning Road,Lanzhou,Gansu Province,730070,+86(931) 4938030,http://www.lzjtu.edu.cn/
10846,Lanzhou U.,China,"222, South Tianshui Road",Lanzhou,Gansu Province,730000,+86(931) 8612850  +86(931) 8912076,http://www.lzu.edu.cn
10847,Lanzhou U. Finance Economics,China,418 Duanjiatan Street,Lanzhou,Gansu Province,730020,+86(931) 8493093,http://www.lzcc.edu.cn
10848,Lanzhou U. Technology,China,85 Langongping StreetQilihe District,Lanzhou,Gansu Province,730050,+86(931) 2976037  +86(931) 2976038,http://yuanxi.lut.cn/english
10849,Lapak Agricultural College,Philippines,East Kuntad,Siasi,Sulu,7412,,
10850,U. Lapland,Finland,Yliopistonkatu 8,Rovaniemi,,96300,+358(16) 341-341,http://www.ulapland.fi
10851,Lappeenranta U. Technology,Finland,PO Box 20Skinnarilankatu 34,Lappeenranta,,53851,+358(5) 621-11,http://www.lut.fi
10852,Larmen De Guia Memorial College,Philippines,"U.N. Avenue, Alang-alang",Mandaue City,Cebu,6014,+63(32) 346-8255,http://www.larmendeguia.com
10853,Las Pinas College,Philippines,Pilar Village,Las Pinas City,"Fourth District, Metro Manila",1750,+63(2) 801-7211,http://lpc.edu.ph
10854,Lasalle College Arts,Singapore,1 Mc Nally Street,Singapore,,187940,+65 6496 5000,http://www.lasalle.edu.sg
10855,Lasbelaa U. Agriculture Water Marine Sciences,Pakistan,District Lasbela,Uthal,Balochistan,90150,+92(853) 610-846 +92(853) 610-246,http://www.luawms.edu.pk
10856,Lasell College,United States of America ,1844 Commonwealth Avenue,Newton, Massachusetts,02466,+1(617) 243-2000,http://www.lasell.edu
10858,Latvian Maritime Academy,Latvia,Flotes iela 5B,Riga,,LV-1016,+371(67) 161-125,http://www.latja.lv
10859,Latvian Christian Academy,Latvia,"5.linija 3, Bulduri",Jurmala,,LV-2010,+371(67) 753-360  +371 (67) 811-340,http://www.kra.lv
10860,Latvian Academy Culture,Latvia,"24, Ludzas Str.",Riga,,LV-1003,+371(67) 140-175,http://www.lka.edu.lv
10861,Latvia U. Agriculture,Latvia,Liela iela 2,Jelgava,,LV-3001,+371(630) 225-84,http://www.llu.lv
10862,Art Academy Latvia,Latvia,Kalpaka bulvaris 13,Riga,,LV-1867,+371(67) 332-202,http://www.lma.lv
10863,National Defence Academy Latvia,Latvia,Ezermalas iela 6/8,Riga,,LV-1014,+371(67) 076-883,http://www.aic.lv/rec/HE_2002/HE_LV/Progr/STATE/naa.htm
